Mean Temp,Rel Hum,Wind Spd
4.4,52,15
8.3,82,18
23.3,69,14
13.8,54,15
0.5,87,20
21.8,72,13
12.1,78,19
25.3,63,15
6.4,79,19
21.7,62,17
-5.7,62,23
1.9,51,10
1.8,85,15
25.8,45,12
14.2,91,17
3.5,74,27
23.5,64,11
8.1,45,13
7.4,51,16
23.1,82,10
4.5,64,17
-7.1,62,27
6.5,71,29
-2.6,67,11
20.3,53,10
2.6,55,11
12.0,37,16
-4.3,68,9
19.9,66,11
-7.0,63,23
17.4,65,17
19.7,46,11
21.0,82,17
28.5,73,12
10.6,63,23
-0.7,56,24
23.1,82,17
2.6,66,33
-5.8,82,15
26.5,69,18
11.2,86,14
12.1,70,28
22.2,50,14
26.5,80,17
9.0,94,26
20.1,56,16
13.6,58,18
17.7,84,8
-0.2,72,17
1.8,65,12
19.7,61,23
20.7,57,17
-3.2,69,8
5.1,76,26
26.5,69,18
-6.6,71,18
17.6,65,12
21.9,76,9
5.6,80,32
1.9,90,23
13.1,54,20
-4.2,67,24
-8.2,61,30
1.4,73,13
3.2,88,7
16.3,78,16
1.5,68,24
14.7,46,11
17.3,49,12
17.3,62,17
22.1,66,12
7.9,74,14
5.6,68,24
2.6,76,10
26.6,52,19
8.4,65,12
4.4,90,17
20.4,50,13
7.2,48,23
17.9,51,14
-16.4,62,13
22.3,65,19
10.0,71,7
21.8,65,10
-2.2,64,22
24.3,50,22
10.2,81,21
22.3,58,9
16.6,76,18
12.2,64,28
22.6,71,13
21.0,43,16
17.3,50,9
14.0,56,22
-9.9,71,19
4.1,74,29
25.6,60,12
10.0,45,20
3.1,76,18
17.9,40,9
19.6,62,16
2.1,85,13
2.5,77,26
10.4,54,20
-17.4,59,8
-1.1,73,23
13.1,89,9
6.7,70,15
-8.2,59,19
16.4,62,18
26.1,77,14
18.9,68,18
-10.4,71,34
23.1,95,6
9.4,85,18
26.1,56,14
10.2,51,11
25.2,64,16
23.2,68,9
19.3,51,17
12.4,86,10
-0.8,88,20
1.1,57,18
21.7,70,18
2.7,65,22
11.4,71,17
-11.0,70,22
21.9,73,24
18.3,63,21
26.7,68,14
-11.9,77,17
25.7,59,15
23.4,74,13
3.6,62,8
18.1,65,10
-13.3,70,21
17.8,65,12
0.2,79,16
16.0,68,10
12.2,43,13
0.1,56,22
8.8,56,23
14.5,66,23
28.0,72,20
6.0,46,28
24.3,60,21
26.1,60,10
11.6,54,25
-2.5,91,36
9.1,67,19
7.9,60,14
18.8,60,13
-5.8,74,24
18.3,81,8
-6.7,76,12
9.9,80,10
1.3,62,23
0.9,72,30
7.1,77,8
11.3,81,18
21.5,50,15
-12.0,61,23
13.1,91,14
1.3,66,35
26.6,67,13
21.7,75,10
4.8,86,15
-13.3,58,20
18.1,84,12
21.4,60,21
-10.1,67,21
-18.0,66,35
19.5,57,21
25.0,66,13
16.9,80,14
8.6,84,16
5.3,86,14
12.2,68,14
-1.6,67,20
-5.5,68,26
23.9,56,12
-7.8,61,22
23.4,94,6
4.1,65,18
22.5,58,20
26.5,50,29
-5.3,43,25
-7.8,72,20
3.8,83,13
-3.8,65,27
20.1,52,18
12.4,60,26
-0.1,50,24
20.3,61,19
22.3,68,10
21.4,44,14
22.2,58,8
17.3,65,12
16.3,63,12
23.4,72,9
13.3,70,15
4.9,90,12
15.2,40,8
9.7,52,21
17.6,51,21
-0.5,71,28
2.2,91,18
-8.4,64,8
-3.0,65,13
17.2,64,20
-2.2,85,16
-13.9,63,29
1.0,86,24
5.5,69,14
14.1,43,9
-16.7,58,24
3.0,90,23
0.4,76,21
1.3,83,18
21.8,63,17
17.1,59,7
-7.3,54,11
-1.7,56,13
14.3,46,21
22.3,57,16
12.7,63,12
16.2,73,24
5.4,66,15
-10.3,60,16
-1.1,64,22
-1.0,71,23
21.6,75,10
17.3,70,10
-13.2,70,29
16.6,62,19
-9.7,70,32
-10.7,57,20
4.1,73,21
23.9,56,14
-12.6,55,12
23.8,78,8
15.1,64,12
3.5,87,15
-12.2,63,23
16.0,73,11
23.0,64,16
14.5,52,18
3.5,64,17
-8.2,70,34
-9.6,48,19
3.5,83,18
23.2,73,10
-3.0,54,10
6.4,73,12
-3.0,47,12
24.3,67,10
11.0,72,14
-22.3,58,35
-0.9,77,29
15.3,63,24
18.8,66,16
19.4,77,9
27.9,70,17
15.0,70,26
2.4,90,16
22.3,39,11
-0.3,66,19
8.2,64,25
24.2,66,16
-3.4,70,13
11.2,92,13
4.9,50,18
4.7,50,15
4.8,89,20
-1.9,72,16
-7.2,66,24
-1.9,52,21
2.7,79,25
8.2,77,14
5.4,72,11
17.1,67,13
5.3,58,17
20.8,95,6
11.3,72,13
4.4,83,14
16.0,81,30
1.2,83,16
6.8,71,20
20.3,54,11
27.8,71,15
-14.3,59,28
0.7,86,8
-5.0,78,10
17.2,79,13
11.3,89,27
7.2,73,23
-10.9,65,30
14.5,50,9
21.3,95,6
-10.0,76,15
20.4,49,18
1.8,77,10
-1.4,81,19
-1.2,73,19
16.7,95,6
21.1,68,14
24.4,73,22
9.2,87,18
9.3,59,22
-6.1,53,24
11.1,71,19
22.5,44,11
8.1,81,29
13.7,60,9
20.7,87,8
25.6,68,12
1.1,70,9
25.1,88,14
6.8,44,22
-10.0,73,21
2.7,75,24
-0.9,69,24
-10.9,65,16
0.6,47,25
15.1,61,17
8.1,89,15
6.0,77,10
23.4,71,13
-0.2,80,23
24.7,66,10
9.4,84,7
21.3,71,20
-10.5,62,15
-1.2,72,23
21.2,69,7
-5.9,73,10
20.0,65,19
17.1,65,11
-14.4,63,27
11.8,59,20
-6.7,56,11
7.8,72,15
27.5,64,17
-0.2,81,11
-0.5,74,7
-10.8,72,19
19.8,73,9
0.1,60,19
-1.0,90,17
-3.3,90,10
8.7,64,19
3.0,61,22
-5.0,58,29
18.2,52,8
-4.4,54,10
-1.4,40,24
8.2,79,6
21.0,73,10
2.7,63,6
-8.2,55,22
1.1,85,7
7.5,48,15
2.5,78,8
12.8,63,9
-0.9,84,14
1.8,74,17
6.0,42,10
9.9,36,12
7.3,75,19
-2.6,54,22
4.1,91,30
-5.3,68,24
8.6,78,27
13.4,83,11
19.1,62,22
23.7,64,18
-5.9,79,13
5.7,91,11
24.2,60,16
26.4,67,21
16.6,70,16
-1.4,68,21
21.9,65,14
-12.9,66,26
-0.4,80,16
-4.1,67,15
12.3,76,22
13.6,57,20
1.4,66,11
16.0,67,17
18.8,87,14
2.8,75,17
-11.0,62,24
-4.1,44,12
0.6,86,11
20.1,74,11
9.3,66,17
-6.1,60,20
22.9,87,17
23.4,56,26
-0.4,65,17
18.2,43,10
5.4,79,15
18.1,56,15
-3.6,76,12
7.4,83,14
-0.8,84,11
15.1,76,24
15.5,92,13
10.3,63,27
16.4,55,13
5.6,96,7
-9.2,66,27
5.5,73,9
19.4,66,14
2.1,87,26
22.4,67,31
20.8,61,14
1.8,43,13
7.6,66,9
16.4,79,11
0.3,68,27
2.5,86,15
0.1,40,22
15.1,85,6
3.4,77,16
-15.4,64,16
10.4,45,11
0.5,71,16
22.1,70,6
0.2,37,11
9.0,61,18
14.5,48,11
14.6,88,16
9.4,88,12
-7.3,63,10
15.4,71,8
21.8,64,12
6.5,44,15
26.1,62,23
8.8,34,12
19.8,62,16
18.7,76,13
9.5,59,9
21.4,67,13
2.7,88,15
-10.7,86,19
-7.9,62,31
1.6,43,12
3.3,68,26
13.2,95,21
18.0,57,16
-12.3,72,10
1.8,71,19
25.7,62,16
3.7,84,10
8.1,71,25
2.8,83,11
3.3,69,17
-3.6,73,15
10.4,33,11
20.6,53,11
22.9,78,11
17.2,66,15
14.6,92,14
21.0,82,14
14.7,46,15
21.1,79,11
-10.5,71,26
6.3,71,14
28.8,52,12
2.2,90,9
15.7,72,9
18.7,71,12
0.4,82,13
-3.6,79,26
1.0,62,32
21.4,72,19
-14.6,58,14
22.3,75,13
11.8,62,9
4.7,67,10
8.1,51,26
-1.3,77,20
29.0,50,22
-1.4,74,22
-2.2,50,14
20.7,51,13
17.2,68,26
4.8,72,7
13.4,30,19
13.0,69,24
-0.3,58,16
16.3,48,12
-1.5,64,31
5.7,73,21
-2.5,72,36
-7.5,67,23
4.2,55,10
15.9,77,7
0.5,58,37
-1.7,59,11
5.7,81,12
18.7,60,13
3.0,60,11
6.9,62,15
6.7,93,12
23.0,66,24
24.1,72,12
-6.2,83,13
13.8,75,15
14.9,78,20
16.6,75,21
13.4,78,10
-9.0,71,24
10.6,56,26
7.6,59,26
22.3,59,16
23.1,62,8
20.3,71,22
-1.8,78,14
-11.2,58,24
22.3,95,6
19.9,56,23
7.7,69,22
9.0,67,9
-7.8,59,12
23.8,71,22
0.2,85,19
-6.2,68,22
-9.9,61,22
7.0,72,20
11.2,73,8
25.6,79,17
4.4,53,13
-2.3,51,13
12.7,60,14
16.8,60,13
21.5,60,9
8.6,58,16
1.6,65,13
13.5,57,18
5.4,77,19
10.7,59,24
2.2,86,18
16.5,69,22
28.7,67,18
-8.9,79,22
4.1,71,22
17.9,59,17
3.0,80,6
0.6,75,19
-0.5,55,44
16.6,70,17
13.8,66,18
-0.2,70,40
10.1,93,13
18.8,74,13
19.5,47,14
1.7,84,10
20.8,62,10
4.1,77,13
17.7,81,23
10.9,95,12
22.3,53,20
11.5,79,19
1.4,85,17
11.9,74,25
-4.1,75,12
25.5,74,16
1.8,71,21
23.9,80,10
-2.6,70,26
20.6,79,21
-2.4,72,22
8.9,91,11
29.1,61,14
-0.6,43,16
1.9,81,7
6.2,67,12
16.3,41,17
18.6,63,10
24.2,77,16
11.1,38,10
-1.0,76,21
20.9,70,17
-7.6,72,14
1.6,63,24
15.9,61,16
0.5,49,33
-17.5,63,8
-1.5,75,8
23.7,78,17
4.4,75,12
23.4,69,15
25.4,54,7
14.1,55,12
-14.7,64,28
6.1,45,21
1.1,90,28
5.4,77,10
24.0,60,9
1.6,77,12
8.5,61,11
20.7,51,12
17.8,65,15
19.9,45,27
9.5,74,12
28.6,55,18
5.3,87,15
-7.9,63,25
-8.9,48,19
23.2,68,12
12.9,58,10
20.8,76,13
20.3,67,15
2.9,70,14
5.0,86,29
8.2,69,25
2.4,86,21
-10.0,73,10
16.7,56,22
12.3,60,10
18.8,70,27
8.0,76,14
15.5,51,16
-8.9,63,12
15.1,69,12
18.8,92,11
19.1,74,15
8.8,53,15
12.0,63,9
-18.9,53,10
13.9,68,18
21.8,80,9
15.2,85,13
-1.5,88,20
16.6,80,26
0.4,83,24
-10.1,68,33
10.5,62,17
6.7,86,17
15.2,71,11
0.9,64,9
20.8,53,16
-1.8,48,13
13.3,74,22
-10.1,65,18
6.5,64,24
4.5,72,18
10.1,73,26
13.1,72,8
8.8,87,12
4.9,88,8
20.2,80,22
-0.6,69,14
4.5,80,24
25.4,56,11
-18.6,55,16
-9.6,51,14
1.8,72,31
7.6,49,9
21.2,83,8
3.0,69,16
-1.9,71,9
7.2,36,11
19.2,66,12
13.2,73,10
1.1,61,21
20.7,72,9
5.5,77,18
-9.7,61,14
7.2,81,6
-12.3,62,19
17.8,67,15
2.4,67,41
23.3,75,11
-10.0,64,29
21.5,57,19
20.4,38,19
-1.7,77,24
8.9,57,21
-0.3,87,25
25.6,77,10
-2.9,66,25
10.9,81,21
11.0,76,16
10.9,63,12
16.6,70,10
20.5,72,21
9.5,47,20
25.7,65,9
20.7,92,12
7.6,81,13
20.2,53,14
28.1,44,20
8.8,71,23
3.0,79,19
18.2,63,8
14.6,53,13
24.7,51,11
-2.7,77,20
22.2,71,10
15.0,76,18
6.4,76,11
19.9,95,6
-8.2,69,9
23.0,79,10
-2.3,68,18
11.6,55,15
22.8,63,12
17.4,85,10
10.2,65,33
11.2,37,12
8.8,72,10
8.9,90,24
-12.0,60,20
-5.2,71,18
16.2,56,13
-2.3,69,13
5.4,72,29
9.9,56,9
14.8,61,12
22.9,60,12
1.7,63,12
-5.7,73,15
-1.2,52,25
-4.3,80,14
19.9,38,13
13.3,89,13
-19.0,59,32
6.6,64,14
-10.0,61,19
20.3,83,11
14.6,83,12
16.9,56,20
5.4,49,35
-18.6,61,34
23.7,81,15
-9.4,63,20
19.7,48,19
6.2,53,21
-3.9,82,26
7.3,62,24
23.6,82,9
-5.4,86,10
1.9,87,9
-3.5,60,11
4.9,72,11
3.5,43,11
3.5,48,32
-2.1,77,15
10.8,79,8
24.3,71,13
14.4,92,15
10.7,76,7
15.9,83,19
-1.2,46,26
1.2,91,17
-12.1,71,10
26.0,80,13
22.5,60,12
-9.6,54,25
20.7,73,18
21.4,63,7
-0.1,49,24
6.2,67,18
3.6,58,19
15.5,82,8
20.6,69,16
13.4,68,11
24.0,77,14
17.2,73,21
20.8,35,11
-8.1,81,12
16.8,68,27
-8.1,58,9
10.5,44,15
1.7,83,11
2.2,92,8
24.5,52,10
19.0,51,13
-4.1,68,14
-18.4,59,23
11.8,72,12
1.7,83,21
1.4,69,15
25.3,95,6
17.2,61,16
5.0,65,23
17.2,68,23
-10.2,73,34
10.5,71,18
20.8,62,16
1.7,66,24
5.6,81,30
18.0,67,14
21.7,78,12
18.3,65,11
12.0,67,26
17.8,70,14
19.3,72,13
15.4,68,10
4.8,76,7
9.7,49,21
14.1,64,10
26.0,56,16
-2.9,64,18
9.2,84,20
12.5,34,8
16.3,89,7
1.6,91,20
15.6,82,19
21.8,45,11
22.6,78,11
8.9,68,8
21.2,63,16
0.0,49,23
23.1,66,26
4.9,67,30
9.1,63,19
1.8,72,12
21.1,75,15
23.2,80,13
8.1,83,26
14.6,69,28
0.1,56,28
17.6,82,12
22.0,95,6
6.2,79,20
15.8,56,10
23.4,60,18
19.8,33,17
4.2,96,7
4.9,80,26
14.0,72,19
18.8,95,6
14.9,50,18
15.3,74,14
11.1,81,9
23.3,64,18
-0.2,63,13
17.2,44,13
8.5,35,9
20.1,95,6
-4.9,78,10
11.8,67,10
24.6,59,15
-0.1,70,10
14.9,78,21
18.0,67,19
6.2,53,21
0.4,79,32
-6.0,70,15
13.1,87,14
7.5,72,15
19.7,66,11
16.0,85,9
-3.6,64,18
1.0,64,28
10.3,81,14
13.9,68,20
22.5,57,14
11.3,56,19
0.6,64,14
-0.1,64,34
5.2,78,9
25.9,68,10
20.5,72,14
6.9,65,22
-7.0,70,7
-5.6,84,14
18.4,43,19
19.9,54,19
4.1,69,21
5.8,60,20
22.3,58,18
17.1,38,14
16.0,51,15
3.4,65,19
7.9,63,8
-3.5,67,11
-13.6,68,21
-4.3,73,14
9.2,64,8
20.3,52,25
19.0,70,10
21.1,71,9
13.8,58,13
22.0,71,9
6.2,88,10
2.5,83,17
17.4,70,14
-1.6,71,20
17.4,60,14
1.3,77,21
14.3,87,9
3.0,83,27
24.0,77,8
10.6,80,24
11.8,69,24
23.2,80,14
2.2,67,11
17.5,78,9
18.0,85,9
21.8,65,19
22.8,55,21
3.5,59,19
23.1,63,13
-11.9,64,9
20.4,54,11
3.7,92,15
10.9,59,30
5.5,65,24
20.8,45,11
-1.1,56,10
2.0,91,13
22.2,73,14
1.4,82,17
7.8,44,12
4.6,69,12
11.1,57,18
20.1,54,14
25.4,68,26
3.3,87,18
12.3,73,7
10.9,56,15
-0.4,77,23
22.6,57,16
4.5,64,33
3.9,76,17
23.6,95,6
-0.1,76,21
-7.1,60,16
11.7,41,22
0.0,74,15
-1.5,67,23
19.9,56,18
22.2,59,12
7.3,67,17
17.3,84,12
0.6,92,14
18.7,63,8
23.4,79,21
6.7,91,15
3.1,90,18
8.6,61,13
5.0,96,13
-6.2,54,41
13.6,67,15
-13.2,59,23
10.3,56,15
-1.6,65,25
-0.3,59,23
22.8,66,13
4.2,71,17
22.6,95,6
12.0,62,8
0.4,67,14
-7.7,75,9
15.5,90,7
24.6,80,12
-1.7,68,9
-5.3,72,17
7.4,72,23
-1.0,60,13
-1.1,64,20
22.3,70,9
-5.6,68,13
-2.0,64,16
-4.7,84,15
9.2,79,12
8.6,66,20
3.3,57,19
12.2,63,18
20.3,53,13
-12.1,62,20
-8.3,72,20
3.4,58,17
1.7,81,12
11.9,63,13
0.6,90,12
22.5,95,6
-5.0,58,27
19.3,59,20
-4.9,54,32
-7.2,73,25
16.0,76,12
4.5,68,20
-4.9,61,21
5.0,62,12
15.5,85,9
25.3,58,13
-7.6,67,32
12.3,84,24
3.0,72,12
3.2,88,17
16.1,78,10
21.9,60,7
21.8,95,6
18.8,63,14
3.2,57,17
-1.9,71,23
1.1,62,20
3.1,68,20
-7.0,62,24
-6.6,72,20
19.6,46,15
-2.2,63,16
16.0,56,14
15.6,75,8
3.6,60,9
10.8,67,9
-1.0,68,16
25.7,95,6
-5.6,85,14
-1.5,76,15
18.3,39,13
-1.2,70,29
-5.4,73,17
-4.0,83,21
6.6,64,8
10.0,66,16
18.6,93,17
23.6,65,11
23.8,51,28
10.0,87,15
-2.2,72,24
22.3,71,8
-10.3,73,9
9.7,82,28
22.1,56,16
-7.5,66,19
22.1,66,20
21.4,68,21
6.5,88,18
-8.4,75,12
12.9,69,22
-8.5,67,17
9.0,55,18
-5.4,61,17
14.2,76,19
18.1,52,15
9.9,77,22
18.8,65,12
-1.0,73,16
6.7,81,9
21.9,72,12
19.6,95,6
13.7,68,14
8.9,92,10
-2.2,69,45
20.3,74,11
22.6,48,14
-1.7,88,9
11.0,49,22
9.6,88,8
6.1,88,32
0.7,90,13
18.4,54,10
-4.3,71,15
16.8,75,14
-4.7,60,25
1.6,59,24
11.8,73,16
20.0,62,11
10.6,29,16
-6.9,68,12
-2.7,48,25
-3.3,62,18
1.9,84,34
8.1,82,12
-2.1,67,31
22.9,78,13
23.5,65,14
16.3,88,14
19.6,62,20
11.8,82,13
1.1,68,15
3.5,88,10
-1.7,54,20
-9.9,67,10
7.8,72,27
18.0,57,16
5.6,89,14
15.2,46,12
23.0,51,15
-6.8,51,27
21.8,76,14
-18.6,63,12
-3.8,82,18
19.8,58,13
7.7,60,11
-3.0,78,11
-6.5,69,15
